Started at: 2022-01-15 20:19:15.505351
Comment: after fixing sdm size to include address memoryArguments:
hdfsa.py -s 100 -a 10 -c 10 -w 512 -m 1724 -a 11 -b 72072 -j 1 -f 1 -t 3 -e 6872
Settings:
s num_states: 100
r num_actions: 10
c num_choices: 10
t num_trials: 3
v verbosity: 0
w sdm_word_length: 512
o sdm_method: 0
k sdm_address_method: 0
b bind_word_length: 72072
m num_rows: 1724
a activation_count: 11
n noise_percent: 0.0
d debug: 0
g generate_error_vs_storage_table: 0
f generate_error_vs_bitflips_table: 1
j error_vs_bitflips_table_start_at_equal_storage: 1
x table_start: 100000
y table_step: 100000
z table_stop: 1000000
q exclude_item_memory: 0
e seed: 6872

-----Data starts here-----
rid	pflip	mtype	mem_len	error_count	fraction_error	probability_of_error	mean_bit_error_count	stdev_bit_error_count	mean_dhd	stdev_dhd	total_storage_required
1.1	0.0	bind	72072	0	0.0	4.4240503754637136e-05	35126.15	137.27701365661505	36035.79961616162	134.09609346768514	999999
1.1	0.0	sdm	1724	0	0.0	2.7049509897409955e-53	52.026	10.454789650042063	255.83242424242425	11.346519365567621	1000064
1.2	0.0	bind	72072	0	0.0	4.258411429053204e-05	35127.948	135.19679533727665	36036.00052525252	133.91827308933287	999999
1.2	0.0	sdm	1724	0	0.0	1.367343368887184e-52	51.848	10.482880653083235	255.88228282828283	11.361287086359198	1000064
1.3	0.0	bind	72072	1	0.001	0.00010466701061230438	35131.186	139.02733545603184	36036.34753535353	134.18673749827627	999999
1.3	0.0	sdm	1724	0	0.0	3.070429332569925e-53	51.721	10.423906024941745	256.11738383838383	11.349741161610908	1000064
2.1	5.0	bind	72072	1	0.001	0.00046439642685994144	35213.391	135.5885850039869	36036.21202020202	133.931713694156	999999
2.1	5.0	sdm	1724	0	0.0	3.7129889147930535e-46	64.416	10.590141410533434	256.1088888888889	11.388375720445516	1000064
2.2	5.0	bind	72072	2	0.002	0.0010570237336250516	35222.296	142.8796030403394	36035.580484848484	134.62341154139193	999999
2.2	5.0	sdm	1724	0	0.0	7.26239281216143e-39	65.968	11.51623200528713	255.78668686868687	11.299618092159035	1000064
2.3	5.0	bind	72072	2	0.002	0.0004412927406010453	35215.306	135.41438409349067	36035.41480808081	134.34976665515984	999999
2.3	5.0	sdm	1724	0	0.0	4.098801995508286e-39	65.176	11.147703588421038	255.96727272727273	11.251271525609976	1000064
3.1	10.0	bind	72072	1	0.001	0.0031086107920874975	35307.285	131.6075846269178	36035.50590909091	133.35453033775312	999999
3.1	10.0	sdm	1724	0	0.0	2.1350307796405176e-35	81.11	10.608602285053504	255.9862222222222	11.249527906539914	1000064
3.2	10.0	bind	72072	2	0.002	0.004444296422727629	35309.145	138.08535599599452	36035.46905050505	133.40233188607525	999999
3.2	10.0	sdm	1724	0	0.0	8.501308837756521e-32	80.74	11.394482622490335	255.745898989899	11.28172029712695	1000064
3.3	10.0	bind	72072	2	0.002	0.004536329427960417	35308.758	138.08383171313207	36035.06397979798	134.16429032466803	999999
3.3	10.0	sdm	1724	0	0.0	4.2965706082236754e-33	80.462	11.166971713820057	255.81256565656565	11.363445713702252	1000064
4.1	15.0	bind	72072	18	0.018	0.0190943518382178	35395.137	134.8709769053795	36035.60541414141	134.03420590893936	999999
4.1	15.0	sdm	1724	0	0.0	1.7318633247302556e-27	97.79	11.043725090016677	255.951797979798	11.308106691631908	1000064
4.2	15.0	bind	72072	22	0.022	0.017979411828301182	35399.082	132.6513990490476	36035.54976767677	133.41138141741516	999999
4.2	15.0	sdm	1724	0	0.0	1.0509671573771314e-26	97.532	11.084847759434941	255.89725252525253	11.325461803093942	1000064
4.3	15.0	bind	72072	19	0.019	0.020231451711840577	35399.954	136.69139849464713	36036.388333333336	133.58894315187072	999999
4.3	15.0	sdm	1724	0	0.0	1.3166428337200902e-29	98.114	10.705213944877777	255.86482828282828	11.261389518650425	1000064
5.1	20.0	bind	72072	82	0.082	0.07818119256571936	35494.979	134.08790446988544	36035.27338383839	134.15358496991837	999999
5.1	20.0	sdm	1724	0	0.0	1.0354748612653737e-19	116.863	11.395177974962966	255.81774747474748	11.295430185227925	1000064
5.2	20.0	bind	72072	69	0.069	0.07893366531735668	35490.693	136.51000598026772	36036.48458585858	134.08287914056183	999999
5.2	20.0	sdm	1724	0	0.0	2.2778514650317885e-19	116.531	11.347943197549714	255.95439393939392	11.280738660955851	1000064
5.3	20.0	bind	72072	77	0.077	0.08208325712832182	35492.099	135.462383177974	36036.02736363636	133.59541807553123	999999
5.3	20.0	sdm	1724	0	0.0	3.2385264564001676e-21	116.558	10.73274558665339	255.9188484848485	11.250161556640293	1000064
6.1	25.0	bind	72072	229	0.229	0.22102418015085556	35585.385	133.24201367890387	36036.25121212121	133.33041289003276	999999
6.1	25.0	sdm	1724	0	0.0	1.8487186722784824e-13	137.236	11.170724644761819	255.88422222222223	11.262353333543418	1000064
6.2	25.0	bind	72072	213	0.213	0.2174474359278309	35583.837	141.61785921644574	36036.812868686866	133.434316541755	999999
6.2	25.0	sdm	1724	0	0.0	4.027884873659393e-14	137.806	11.124572806185418	255.91038383838384	11.274131298476584	1000064
6.3	25.0	bind	72072	189	0.189	0.1960340229184548	35576.04	133.7345779420466	36036.75129292929	133.0900940266659	999999
6.3	25.0	sdm	1724	0	0.0	2.800246243897961e-15	137.178	10.78826689986407	255.93080808080808	11.285140747338373	1000064
7.1	30.0	bind	72072	423	0.423	0.4382383233983957	35675.879	133.59616122214476	36036.49305050505	132.46752550818832	999999
7.1	30.0	sdm	1724	0	0.0	5.437476154645957e-09	158.516	11.107976014158975	256.0270101010101	11.275068897055364	1000064
