Started at: 2021-12-31 17:04:45.525431
Comment: after fixing sdm size to include address memoryArguments:
hdfsa.py -s 100 -r 10 -c 10 -w 512 -t 3 -g 1
Settings:
s num_states: 100
r num_actions: 10
c num_choices: 10
t num_trials: 3
v verbosity: 0
w sdm_word_length: 512
o sdm_method: 0
k sdm_address_method: 0
b bind_word_length: 512
m num_rows: 2048
a activation_count: 20
n noise_percent: 0.0
d debug: 0
g generate_error_vs_storage_table: 1
f generate_error_vs_bitflips_table: 0
j error_vs_bitflips_table_start_at_equal_storage: 0
x table_start: 0
y table_step: 0
z table_stop: 0
q exclude_item_memory: 0
e seed: 2021

-----Data starts here-----
rid	storage	mtype	mem_len	error_count	fraction_error	probability_of_error	mean_bit_error_count	stdev_bit_error_count	mean_dhd	stdev_dhd	total_storage_required
1.1	100000	bind	7207	625	0.625	0.612488162283539	3512.156	43.46606679886004	3604.3681717171717	41.63225266595881	99996
1.1	100000	sdm	161	0	0.0	0.0002175569665379306	175.93	13.26812508017403	255.92816161616162	11.296818688539766	99776
1.2	100000	bind	7207	634	0.634	0.6416533976633696	3514.266	43.29646438022195	3604.1190606060604	41.74442667458954	99996
1.2	100000	sdm	161	2	0.002	0.0003697397109202203	176.336	13.85492919733129	255.86420202020201	11.325824763221146	99776
1.3	100000	bind	7207	626	0.626	0.6214689469649158	3513.002	42.95515267277188	3604.161616161616	41.77363655664034	99996
1.3	100000	sdm	161	1	0.001	0.00010890615132222874	176.293	12.915880572805364	255.85480808080808	11.31850205643467	99776
2.1	200000	bind	14414	286	0.286	0.2983154581300269	7023.602	60.974268814455314	7208.083232323233	59.716968502505125	199993
2.1	200000	sdm	335	0	0.0	1.8900623623041795e-08	144.767	13.92762326061736	255.8949595959596	11.365707615101453	200000
2.2	200000	bind	14414	308	0.308	0.31092669922659955	7026.152	58.89162180751281	7208.200313131313	59.53685572122612	199993
2.2	200000	sdm	335	0	0.0	6.882646906213482e-08	145.076	14.580974892949676	255.7780808080808	11.34225761225391	200000
2.3	200000	bind	14414	290	0.29	0.30556747326783706	7025.132	60.63985296624463	7208.095626262626	59.619074246445514	199993
2.3	200000	sdm	335	0	0.0	6.880226445161021e-08	144.146	14.894849463507194	255.99165656565657	11.321239156339113	200000
3.1	300000	bind	21622	143	0.143	0.14307452724521258	10539.146	75.33735063300541	10811.853757575758	73.27329002098648	300004
3.1	300000	sdm	509	0	0.0	8.070254969490928e-14	123.286	12.832102979124928	255.74367676767676	11.251542905177503	300224
3.2	300000	bind	21622	129	0.129	0.1408479354214573	10540.275	72.89571427841393	10811.830282828283	73.194578526155	300004
3.2	300000	sdm	509	0	0.0	4.32024153030073e-15	123.498	12.35810336251962	255.97767676767677	11.354265348425743	300224
3.3	300000	bind	21622	139	0.139	0.13189816313079944	10538.63	71.21820787644921	10812.016343434343	73.18092529925133	300004
3.3	300000	sdm	509	0	0.0	4.516762477610745e-14	124.15	12.85818155233596	256.18159595959594	11.32857398988286	300224
4.1	400000	bind	28829	58	0.058	0.05600971733896921	14054.022	87.61577506385503	14415.777707070707	84.45261270784835	400001
4.1	400000	sdm	682	0	0.0	2.2011342340379636e-19	108.278	12.272625364335592	255.87874747474748	11.327362080086438	399872
4.2	400000	bind	28829	62	0.062	0.058612540264293196	14053.516	86.17101129258718	14416.092848484848	84.60340640854496	400001
4.2	400000	sdm	682	0	0.0	9.71152739502988e-20	107.201	12.007530128206207	255.6401111111111	11.220961807300831	399872
4.3	400000	bind	28829	38	0.038	0.04117493274759111	14047.806	84.23246091306765	14416.39298989899	84.55756198034862	400001
4.3	400000	sdm	682	0	0.0	2.8263392104822305e-20	108.459	12.075352298510099	255.82209090909092	11.307122660067138	399872
5.1	500000	bind	36036	22	0.022	0.013806228182659534	17567.494	90.81899610794018	18019.856686868687	94.54729369434908	499999
5.1	500000	sdm	856	0	0.0	2.078065942647844e-25	95.972	11.62274942964462	255.84529292929292	11.247955782437987	500096
5.2	500000	bind	36036	31	0.031	0.02341368070635039	17564.28	98.32260642870965	18020.002717171716	94.4198221510643	499999
5.2	500000	sdm	856	0	0.0	2.5614183171339784e-26	95.455	11.377144387517212	255.5367777777778	11.306880864639748	500096
5.3	500000	bind	36036	20	0.02	0.01626115915323296	17564.658	90.80978721180583	18020.99777777778	94.7278153430794	499999
5.3	500000	sdm	856	0	0.0	2.0146802698726185e-27	95.547	11.103651745353062	255.96061616161617	11.263910718342656	500096
6.1	600000	bind	43243	5	0.005	0.004305848449058895	21081.879	98.73571339743336	21624.554515151514	103.53367844799118	599996
6.1	600000	sdm	1029	0	0.0	7.964181652461804e-32	85.202	11.05719030574483	255.82222222222222	11.30401089190366	599744
6.2	600000	bind	43243	4	0.004	0.005744117005151978	21079.026	104.20159930297278	21624.486	103.64938973636886	599996
6.2	600000	sdm	1029	0	0.0	3.368036471640209e-33	83.543	11.194886175235391	255.765	11.354671333379107	599744
6.3	600000	bind	43243	5	0.005	0.005989861603015839	21078.438	104.85247826445591	21623.74501010101	103.54671727716644	599996
6.3	600000	sdm	1029	0	0.0	1.6700126399439877e-31	84.877	10.955176259964368	255.64338383838384	11.240965802490756	599744
7.1	700000	bind	50450	2	0.002	0.002080894363518933	24587.536	115.85757498619449	25227.564444444444	112.10478724114154	699993
7.1	700000	sdm	1203	0	0.0	1.2035054883989525e-38	76.601	10.579873946920763	256.0037070707071	11.29603972020401	699968
7.2	700000	bind	50450	2	0.002	0.00151706345091676	24588.371	108.10854182633219	25227.659272727273	111.54488118365009	699993
7.2	700000	sdm	1203	0	0.0	4.581583062849386e-39	76.068	10.395260335241126	255.9279393939394	11.359496803614674	699968
7.3	700000	bind	50450	1	0.001	0.0018003405109751345	24588.477	113.77041433596952	25228.200515151515	111.87644812626621	699993
7.3	700000	sdm	1203	0	0.0	6.619414057851251e-40	75.875	10.288986259016884	255.87009090909092	11.432405086349878	699968
8.1	800000	bind	57658	0	0.0	0.0006324455013549909	28108.172	118.93949310056361	28832.742060606062	119.96110795470058	800004
8.1	800000	sdm	1377	0	0.0	6.3233843755449315e-46	69.387	10.109571426842704	255.97877777777776	11.263380151357707	800192
8.2	800000	bind	57658	1	0.001	0.0006652365233052736	28106.994	121.26801678882975	28832.123151515152	119.96455493173485	800004
8.2	800000	sdm	1377	0	0.0	1.8244305458388975e-46	69.343	9.869790461998864	255.78427272727274	11.327364872957075	800192
8.3	800000	bind	57658	0	0.0	0.0009352341191739001	28100.95	123.76235542611744	28832.571292929293	119.47964894347186	800004
8.3	800000	sdm	1377	0	0.0	1.7572588753171118e-45	68.471	9.90481015791137	255.96835353535354	11.373114717401519	800192
9.1	900000	bind	64865	0	0.0	7.68450945466352e-05	31616.291	120.3401848057376	32435.882919191918	127.33709662306416	900001
9.1	900000	sdm	1550	0	0.0	5.8200802192335236e-52	63.036	9.551331421950133	255.6319393939394	11.328384325616039	899840
9.2	900000	bind	64865	1	0.001	0.00013005650728054413	31618.436	124.78382470058733	32436.504292929294	127.2804542167414	900001
9.2	900000	sdm	1550	0	0.0	3.06472387892787e-53	63.69	9.675097286720558	255.79668686868686	11.270951160729776	899840
9.3	900000	bind	64865	1	0.001	0.0001016275761551489	31618.11	124.76853404239023	32436.086212121212	126.91729275359845	900001
9.3	900000	sdm	1550	0	0.0	9.343171377650471e-54	62.653	9.165183663822106	255.89994949494948	11.243164154683642	899840
10.1	1000000	bind	72072	0	0.0	6.562620686461524e-05	35129.04	136.5557390587077	36036.35931313131	134.04831330592384	999999
10.1	1000000	sdm	1724	0	0.0	3.435659900353275e-64	57.131	8.84783154920589	255.96146464646463	11.114466251799096	1000064
10.2	1000000	bind	72072	0	0.0	3.8457300182744955e-05	35130.641	130.65679207877528	36036.328474747475	133.4558939985668	999999
10.2	1000000	sdm	1724	0	0.0	4.513888522344616e-63	57.591	8.841939770146531	255.95653535353534	11.34536906864546	1000064
10.3	1000000	bind	72072	0	0.0	3.026453705304152e-05	35129.821	129.50953508787944	36036.3127979798	133.92822667367	999999
10.3	1000000	sdm	1724	0	0.0	3.074412769019315e-54	57.082	9.55743797367373	256.11755555555555	11.174699251294774	1000064
